"Date","Price","Open","High","Low","Vol.","Change"
"Feb 27, 2020","8,818.6","8,800.1","8,968.3","8,538.5","1.13M","0.21"
"Feb 26, 2020","8,800.3","9,317.1","9,368.1","8,672.0","1.32M","-5.55"
"Feb 25, 2020","9,317.2","9,662.6","9,672.3","9,269.8","937.97K","-3.57"
"Feb 24, 2020","9,662.7","9,943.2","9,981.0","9,507.0","980.00K","-2.82"
"Feb 23, 2020","9,942.7","9,655.6","9,965.6","9,653.4","775.88K","2.97"
"Feb 22, 2020","9,655.7","9,684.5","9,706.5","9,569.8","589.88K","-0.30"
"Feb 21, 2020","9,684.5","9,602.2","9,747.1","9,574.5","716.61K","0.85"
"Feb 20, 2020","9,602.4","9,611.9","9,681.4","9,448.9","870.80K","-0.07"
"Feb 19, 2020","9,609.4","10,158.6","10,230.9","9,424.3","905.95K","-5.40"
"Feb 18, 2020","10,158.4","9,701.5","10,230.1","9,601.6","945.91K","4.71"
"Feb 17, 2020","9,701.4","9,931.7","9,951.5","9,468.9","961.88K","-2.32"
"Feb 16, 2020","9,932.3","9,907.4","10,056.4","9,654.9","808.91K","0.25"
"Feb 15, 2020","9,907.7","10,336.0","10,369.8","9,831.7","808.81K","-4.12"
"Feb 14, 2020","10,333.0","10,235.5","10,372.4","10,125.2","732.51K","0.96"
"Feb 13, 2020","10,235.1","10,321.9","10,482.6","10,116.9","940.30K","-0.80"
"Feb 12, 2020","10,317.7","10,229.3","10,435.6","10,229.3","803.25K","0.86"
"Feb 11, 2020","10,229.5","9,854.0","10,314.1","9,725.1","791.28K","3.81"
"Feb 10, 2020","9,854.1","10,151.5","10,181.7","9,774.8","781.22K","-2.93"
"Feb 09, 2020","10,151.5","9,895.4","10,157.1","9,882.7","617.35K","2.59"
"Feb 08, 2020","9,895.5","9,817.3","9,931.2","9,673.2","551.31K","0.78"
"Feb 07, 2020","9,818.6","9,771.9","9,872.5","9,738.7","608.96K","0.48"
"Feb 06, 2020","9,772.0","9,611.8","9,854.9","9,536.1","778.67K","1.67"
"Feb 05, 2020","9,611.8","9,194.1","9,726.8","9,179.9","771.46K","4.54"
"Feb 04, 2020","9,193.9","9,296.5","9,347.5","9,193.9","651.68K","-1.10"
"Feb 03, 2020","9,296.6","9,334.6","9,582.8","9,243.1","701.39K","-0.41"
"Feb 02, 2020","9,334.9","9,381.5","9,465.4","9,183.1","683.37K","-0.50"
"Feb 01, 2020","9,381.6","9,349.3","9,458.8","9,301.5","458.42K","0.35"
"Jan 31, 2020","9,349.1","9,508.3","9,525.0","9,222.3","633.37K","-1.66"
"Jan 30, 2020","9,507.3","9,299.1","9,569.0","9,209.2","765.21K","2.24"
"Jan 29, 2020","9,298.9","9,377.3","9,428.7","9,250.9","749.88K","-0.84"
"Jan 28, 2020","9,377.3","8,866.6","9,389.5","8,866.6","954.20K","5.76"
"Jan 27, 2020","8,866.6","8,608.1","8,983.1","8,585.6","706.45K","3.01"
"Jan 26, 2020","8,607.8","8,341.6","8,607.8","8,304.9","468.34K","3.19"
"Jan 25, 2020","8,341.6","8,439.9","8,447.6","8,277.2","444.00K","-1.17"
"Jan 24, 2020","8,439.9","8,404.9","8,522.0","8,242.6","617.02K","0.41"
"Jan 23, 2020","8,405.1","8,678.5","8,687.3","8,309.6","722.67K","-3.15"
"Jan 22, 2020","8,678.5","8,733.0","8,805.4","8,610.8","509.06K","-0.62"
"Jan 21, 2020","8,732.6","8,642.0","8,770.3","8,524.0","540.20K","1.05"
"Jan 20, 2020","8,641.9","8,705.7","8,740.1","8,539.2","599.06K","-0.74"
"Jan 19, 2020","8,706.2","8,916.3","9,183.7","8,552.8","975.01K","-2.36"
"Jan 18, 2020","8,916.3","8,913.0","8,982.3","8,814.6","627.74K","0.04"
"Jan 17, 2020","8,913.1","8,726.7","9,005.1","8,675.9","794.11K","2.13"
"Jan 16, 2020","8,726.9","8,818.1","8,850.0","8,605.8","748.32K","-1.04"
"Jan 15, 2020","8,818.3","8,827.9","8,904.0","8,615.5","1.17M","-0.12"
"Jan 14, 2020","8,829.2","8,111.2","8,898.7","8,111.2","1.48M","8.85"
"Jan 13, 2020","8,111.4","8,188.3","8,196.7","8,068.4","610.66K","-0.93"
"Jan 12, 2020","8,187.6","8,023.3","8,189.9","7,973.1","595.22K","2.04"
"Jan 11, 2020","8,024.1","8,187.8","8,262.9","8,008.4","776.75K","-1.99"
"Jan 10, 2020","8,187.1","7,842.5","8,187.4","7,697.7","1.05M","4.40"
"Jan 09, 2020","7,842.4","8,060.0","8,065.9","7,779.2","786.50K","-2.70"
"Jan 08, 2020","8,059.6","8,154.2","8,436.4","7,900.8","1.19M","-1.18"
"Jan 07, 2020","8,155.7","7,759.1","8,182.0","7,754.1","1.01M","5.11"
"Jan 06, 2020","7,759.1","7,372.6","7,783.1","7,366.7","786.75K","5.24"
"Jan 05, 2020","7,372.5","7,376.8","7,501.0","7,345.6","628.14K","-0.06"
"Jan 04, 2020","7,376.8","7,345.1","7,433.1","7,291.4","523.91K","0.46"
"Jan 03, 2020","7,343.1","6,967.1","7,402.9","6,884.1","936.29K","5.40"
"Jan 02, 2020","6,967.0","7,199.7","7,209.6","6,901.4","632.78K","-3.23"
"Jan 01, 2020","7,199.8","7,196.4","7,259.4","7,180.0","420.28K","0.05"
